coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Shock Wave (Six Flags Over Texas),"3,600 ft (1,100 m)",60 mph (97 km/h),Six Flags Over Texas,Operating,"April 22, 1978",Steel,Anton Schwarzkopf,42 in (107 cm),custom looping,116 ft (35 m),2,Chain lift hill,,7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Tower,2:00,,5.9,Werner Stengel,,,,,,,,,,,,,,,,,,,,,,1978,32.7589,-97.0706,Steel,1978-04-22,60 mph ,97 km/h,60.0,mph,60.0,116.0,ft,,2,5.9
The Riddler Mindbender,"3,253 ft (992 m)",50 mph (80 km/h),Six Flags Over Georgia,Operating,"March 31, 1978",Steel,Anton Schwarzkopf,42 in (107 cm),Custom design,80 ft (24 m),2,Chain lift hill,$2.8 million,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Gotham City,2:33,1200 riders per hour,,Werner Stengel,62°,,,,,Terrain,,,,,,,Flash Pass Available,,,,,,,,,1978,33.7703,-84.5475,Steel,1978-03-31,50 mph ,80 km/h,50.0,mph,50.0,80.0,ft,,2,
Tornado (Adventureland),"2,850 ft (870 m)",58 mph (93 km/h),Adventureland (Iowa),Operating,"July 4, 1978",Wood,Frontier Construction Company,42 in (107 cm),,93 ft (28 m),0,Chain-lift,,,County Fair,2 minutes,,,William Cobb,,,,,,Out and Back,,,,,,,,,,,,,,,,1978,41.6515,-93.5025,Wood,1978-07-04,58 mph ,93 km/h,58.0,mph,58.0,93.0,ft,,0,
Wild Rider,,,Six Flags Great Adventure,Removed,1978,Steel,Anton Schwarzkopf,,Wildcat - Unknown,,,,,,Enchanted Forest,,,,Werner Stengel,,,,,Big Fury,,,,1980,,,,,,,,,,,,,1978,40.1363,-74.4416,Steel,1978-01-01,,,,,,,,,0,
The Beast (roller coaster),"7,359 ft (2,243 m)",64.78 mph (104.25 km/h),Kings Island,Operating,"April 14, 1979",Wood,Kings Island,48 in (122 cm),,110 ft (34 m),0,2 Chain lift hills,$3.2 million,3 trains with 6 cars. Riders are arranged 2 across in 3 rows for a total of 36 riders per train.,Rivertown,4:10,"1,200 riders per hour",3.6,Al CollinsJeff Gramke,45°,141 ft (43 m),"April 13, 1979",,,Terrain,,"April 13, 1979",,,,,,,,,,,,,,1979,39.3402,-84.266,Wood,1979-04-14,64.78 mph ,104.25 km/h,64.78,mph,64.8,110.0,ft,,0,3.6
Big Thunder Mountain Railroad,,35 mph (56 km/h),Other,,,Steel – Mine Train,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",40 in (102 cm),Mine Train,104 ft (32 m),0,Chain lift hill,,,,~3:00,,,Walt Disney Imagineering,,,,,Mine Train Through Nature's Wonderland,Custom,,,,,,,,Must transfer from wheelchair,,Single rider line available,,,,Single Lap Bar,,1979,,,Steel,,35 mph ,56 km/h,35.0,mph,35.0,104.0,ft,,0,
Big Thunder Mountain Railroad (Disneyland),,35 mph (56 km/h),Other,,,Steel – Mine Train,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",40 in (102 cm),Mine Train,104 ft (32 m),0,Chain lift hill,,,,~3:00,,,Walt Disney Imagineering,,,,,Mine Train Through Nature's Wonderland,Custom,,,,,,,,Must transfer from wheelchair,,Single rider line available,,,,Single Lap Bar,,1979,,,Steel,,35 mph ,56 km/h,35.0,mph,35.0,104.0,ft,,0,
Corkscrew (Michigan's Adventure),,,"Muskegon, Michigan, United States",Operating,,Other,,,,,,,,,,,,,,,,,,,,,,,1956,,www.miadventure.com,,,,,,,,,,1979,43.3474,-86.2789,Other,,,,,,,,,,0,
Momonga Standing and Loop Coaster,"1,380 ft (420 m)",46.6 mph (75.0 km/h),Yomiuriland,Removed,1979,Steel – Stand-up,TOGO,,Stand-up,82 ft (25 m),1,Chain lift hill,,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Flag Street,1:10,,,,,,,,,,,,"September 20, 2021",,,Archived Official Website,,,,,,,,,,1979,35.6245,139.5193,Steel,1979-01-01,46.6 mph ,75.0 km/h,46.6,mph,46.6,82.0,ft,,1,
Revolution (Blackpool Pleasure Beach),635 ft (194 m),45 mph (72 km/h),Blackpool Pleasure Beach,Operating,1979,Steel – Shuttle – Launched,Arrow Development,50 in (127 cm),Launched Loop,56 ft (17 m),2,,"£1,000,000",,,66,,4,,52°,47 ft (14 m),,,,,,,,,,,,,,,,,,,,1979,53.7899,-3.0551,Steel,1979-01-01,45 mph ,72 km/h,45.0,mph,45.0,56.0,ft,,2,4.0
Rolling Thunder (roller coaster),"3,200 ft (975.4 m)",56 mph (90.1 km/h),Other,Removed,1979,Wood – Racing,William Cobb & Associates,44 in (112 cm),Racing roller coaster,96 ft (29.3 m),0,Chain lift hill,,4 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Plaza del Carnaval,2:10,3840 riders per hour,,Don Rosser & William Cobb,45°,,,,,Figure 8/Out and back,,,"September 8, 2013",,Zumanjaro: Drop of Doom,,Flash Pass Available,,,,,,,,,1979,40.1394,-74.4343,Wood,1979-01-01,56 mph ,90.1 km/h,56.0,mph,56.0,96.0,ft,,0,
WildCat (Cedar Point),"1,837 ft (560 m)",40 mph (64 km/h),Cedar Point,Removed,1979,Steel,Anton Schwarzkopf,48 in (122 cm),Wildcat/65m,50 ft (15 m),0,Chain lift,,,Celebration Plaza,1:25,900 riders per hour,,Werner Stengel,,,,,Jumbo Jet,Metal track in an overlapping and interlocking figure-eight configuration,,,2011,,Luminosity — Ignite the Night!,,,,,,,,,,,1979,41.4817,-82.685,Steel,1979-01-01,40 mph ,64 km/h,40.0,mph,40.0,50.0,ft,,0,
Wilderness Run,443 ft (135 m),6 mph (9.7 km/h),Cedar Point,Operating,1979,Steel,Intamin,36 in (91 cm),Children's coaster,19 ft (5.8 m),0,Chain lift hill,,Single train with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Camp Snoopy,0:50,,,,,,,,,,,,,,,,,,,,,,,,,1979,41.4856,-82.6886,Steel,1979-01-01,6 mph ,9.7 km/h,6.0,mph,6.0,19.0,ft,,0,
Big Thunder Mountain Railroad,,35 mph (56 km/h),Other,,,Steel – Mine Train,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",40 in (102 cm),Mine Train,104 ft (32 m),0,Chain lift hill,,,,~3:00,,,Walt Disney Imagineering,,,,,Mine Train Through Nature's Wonderland,Custom,,,,,,,,Must transfer from wheelchair,,Single rider line available,,,,Single Lap Bar,,1980,,,Steel,,35 mph ,56 km/h,35.0,mph,35.0,104.0,ft,,0,
Carolina Cyclone,"2,100 ft (640 m)",41 mph (66 km/h),Carowinds,Operating,"March 22, 1980",Steel,Arrow Dynamics,48 in (122 cm),Custom Looping,95 ft (29 m),4,Chain lift hill,"$2,000,000",2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Carolina Boardwalk,1:30,"1,600 riders per hour",3.5,Ron Toomer,53°,65 ft (20 m),,Fast Lane available,,,,,,,,,,,,,,,,,,1980,35.1042,-80.9436,Steel,1980-03-22,41 mph ,66 km/h,41.0,mph,41.0,95.0,ft,,4,3.5
Corkscrew (Alton Towers),"2,460 ft (750 m)",40 mph (64 km/h),Alton Towers,Removed,4 April 1980,Other,Vekoma,47.3 in (120 cm),Corkscrew with Bayerncurve,75 ft (23 m),2,Chain lift hill,"£1,000,000",,UG Land,1.30,"1,400 riders per hour",3.1,Arrow Dynamics,43°,68 ft (21 m),,,,custom,,,9 November 2008,,Thirteen,,,,,,,,,,,1980,52.9847,-1.8904,Other,1980-04-04,40 mph ,64 km/h,40.0,mph,40.0,75.0,ft,,2,3.1
Corkscrew (Valleyfair),"1,950 ft (590 m)",50 mph (80 km/h),Valleyfair,Operating,1980,Steel,Arrow Dynamics,48 in (122 cm),,85 ft (26 m),3,Chain-lift,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,1300 riders per hour,3.5,,,,,Fast Lane available,,Out and Back,,,,,,,,,,,,,,,,1980,44.7996,-93.4563,Steel,1980-01-01,50 mph ,80 km/h,50.0,mph,50.0,85.0,ft,,3,3.5
Judge Roy Scream,"2,670 ft (810 m)",45 mph (72 km/h),Six Flags Over Texas,Operating,"March 1, 1980",Wood,William Cobb & Associates,42 in (107 cm),custom,71 ft (22 m),0,Chain,"$2,100,000",,Goodtimes Square,1:30,1200 riders per hour,4.0,Don Rosser and Bill Cobb,42°,65 ft (20 m),,,,Wooden out-and-back,,,,,,,,,,,,,,,,1980,32.7554,-97.0673,Wood,1980-03-01,45 mph ,72 km/h,45.0,mph,45.0,71.0,ft,,0,4.0
Orient Express (roller coaster),"3,470 ft (1,060 m)",50 mph (80 km/h),Worlds of Fun,Removed,"April 4, 1980",Steel,Arrow Dynamics,48 in (122 cm),Custom Looping Coaster,117 ft (36 m),4,Chain lift hill,,,Orient,2:00,1550 riders per hour,3.5,Ron Toomer,55°,115 ft (35 m),,,,Terrain,,,"October 26, 2003",,,,,,,,,,,,,1980,39.1761,-94.4883,Steel,1980-04-04,50 mph ,80 km/h,50.0,mph,50.0,117.0,ft,,4,3.5
Scorpion (roller coaster),"1,817.6 ft (554.0 m)",41 mph (66 km/h),Busch Gardens Tampa Bay,Operating,"May 16, 1980",Steel,Anton Schwarzkopf,42 in (107 cm),Silver Arrow,60.7 ft (18.5 m),1,Chain lift hill,US$2.5 million – US$3 million,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Pantopia,1:30,,3.5,Werner Stengel,,,,,,,,,,,,,,,,,,,,,,1980,28.0375,-82.4233,Steel,1980-05-16,41 mph ,66 km/h,41.0,mph,41.0,60.7,ft,,1,3.5
Shuttle Loop (Nagashima Spa Land),,57 mph (92 km/h),Nagashima Spa Land,Operating,1980,Steel,Anton Schwarzkopf,,Shuttle Loop,,2,,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,0:30 [1],28 riders per hour,,Ing.-Büro Stengel GmbH,70°,,,,,,,,,,,,,,,,,,,,,1980,35.0303,136.7308,Steel,1980-01-01,57 mph ,92 km/h,57.0,mph,57.0,,,,2,
The Beastie (Kings Island),"1,350 ft (410 m)",35 mph (56 km/h),Kings Island,Operating,1972,Wood,Philadelphia Toboggan Coasters,40 in (102 cm),,38.6 ft (11.8 m),0,Chain lift hill,,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Planet Snoopy,1:30,1200 riders per hour,,John C. Allen,,30 ft (9.1 m),,,,Figure Eight,,,,,,,,Must transfer from wheelchair,,,,,,,,1980,39.3432,-84.2693,Wood,1972-01-01,35 mph ,56 km/h,35.0,mph,35.0,38.6,ft,,0,
American Eagle (roller coaster),"4,650 ft (1,417.3 m)",66 mph (106.2 km/h),Other,Operating,"May 23, 1981",Wood – Racing,Intamin,48 in (122 cm),Wooden,127 ft (38.7 m),0,Chain,$10 million,4 2-Blue 2-Red trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,County Fair,2:23,1800 riders per hour,,Curtis D. SummersJames FigleyLeonard Wright,55°,147 ft (44.8 m),,,,Out and back,,,,,,,,Must transfer from wheelchair,,,,,,,,1981,42.3646,-87.9336,Wood,1981-05-23,66 mph ,106.2 km/h,66.0,mph,66.0,127.0,ft,,0,
The Bat (Kings Island; opened 1981),"2,456 ft (749 m)",34 mph (55 km/h),Kings Island,Removed,"April 26, 1981",Steel – Suspended,Arrow Development,,,100 ft (30 m),0,2 chain lift hills,"$3,800,000",3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Coney Mall,,1700 riders per hour,,,,,"April 22, 1981",,,,,"April 22, 1981",August 1983,,Vortex,,,,,,,,,,,1981,39.3408,-84.2646,Steel,1981-04-26,34 mph ,55 km/h,34.0,mph,34.0,100.0,ft,,0,
Colossus (Playcenter São Paulo),"2,200 ft (670 m)",52 mph (84 km/h),Other,,,Steel,Anton Schwarzkopf,48 in (122 cm),Double Looping,93 ft (28 m),2,Chain lift hill,,,,2:00,,,Werner Stengel,,,,,,Custom,,,,,Stinger,,,,,,,,,,,1981,,,Steel,,52 mph ,84 km/h,52.0,mph,52.0,93.0,ft,,2,
Dragon Fyre,"658.5 m (2,160 ft)",80 km/h (50 mph),Canada's Wonderland,Operating,1981,Steel,Arrow Dynamics,122 cm (4 ft 0 in),Custom Looping Coaster,23.8 m (78 ft),4,Chain lift,,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Medieval Faire,1:30,,,HUSS Park Attractions,,23.2 m (76 ft),,,,,,,,,,,,,,,,,,,,1981,43.8445,-79.5407,Steel,1981-01-01,80 km/h ,50 mph,80.0,km/h,49.7,23.8,m,78.1,4,
Ghoster Coaster (Canada's Wonderland),"413.3 m (1,356 ft)",56 km/h (35 mph),Canada's Wonderland,Operating,"May 23, 1981",Wood,Taft Broadcasting,102 cm (3 ft 4 in),,12.5 m (41 ft),,Chain lift hill,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Planet Snoopy,1:20,,,Curtis D. Summers,,12 m (39 ft),,,,,,,,,,,,,,,,,,,,1981,43.8438,-79.546,Wood,1981-05-23,56 km/h ,35 mph,56.0,km/h,34.8,12.5,m,41.0,0,
Hoot N Holler,197.5 ft (60.2 m),16.2 mph (26.1 km/h),Six Flags Darien Lake,Operating,1981,Steel,Zierer,36 in (91 cm),Out and Back roller coaster,10.8 ft (3.3 m),0,,,,Rowdy's Ridge,,600 riders per hour,,Werner Stengel,,,,,,,,,,,,,,,,,,,,,,1981,42.9272,-78.3823,Steel,1981-01-01,16.2 mph ,26.1 km/h,16.2,mph,16.2,10.8,ft,,0,
Mighty Canadian Minebuster,"1,166.8 m (3,828 ft)",89.9 km/h (55.9 mph),Canada's Wonderland,Operating,1981,Wood,Canada's Wonderland,122 cm (4 ft 0 in),,27.4 m (90 ft),,Chain lift hill,$1.2M est.,2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Frontier Canada,2:02,,,Curtis D. Summers,,26.5 m (87 ft),,Fast Lane available,,Out and Back,,,,,,,,,,,,,,,,1981,43.8392,-79.5419,Wood,1981-01-01,89.9 km/h ,55.9 mph,89.9,km/h,55.9,27.4,m,89.9,0,
Python (Efteling),"750 m (2,460 ft)",75 km/h (47 mph),Efteling,Operating,"April 12, 1981",Steel,Vekoma,120 cm (3 ft 11 in),Double Loop Corkscrew,29 m (95 ft),4,Chain lift,"€ 9,4 million",2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Ruigrijk,2:08,1400 riders per hour,3.5,Vekoma,,22 m (72 ft),,,,,,,,,,,,,,Single rider line available,,,,,,1981,51.6469,5.0536,Steel,1981-04-12,75 km/h ,47 mph,75.0,km/h,46.6,29.0,m,95.1,4,3.5
Super Manège,"731.52 m (2,400.0 ft)",64 km/h (40 mph),La Ronde,Removed,1981,Steel,Vekoma,52 in (132 cm),Corkscrew with Bayerncurve,23 m (75 ft),2,Chain,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,,,,,21 m (69 ft),,,,,,,"August 25, 2019",,,,Flash Pass Available,,,,,,,,,1981,45.5238,-73.5325,Steel,1981-01-01,64 km/h ,40 mph,64.0,km/h,39.8,23.0,m,75.5,2,
Thunder Run (Canada's Wonderland),"330 m (1,080 ft)",64 km/h (40 mph),Canada's Wonderland,Operating,"May 23, 1981 as Blauer Enzian, 1986 as Thunder Run",Steel – Powered – Mine Train,Mack Rides,102 cm (3 ft 4 in),,10 m (33 ft),0,,$2.7M est.,Single train with 10 cars. Riders are arranged 2 across in 2 rows for a total of 40 riders per train.,International Festival,1:24,,,,,,,,,,,,,,,,,,,,,,,,,1981,43.8427,-79.5423,Steel,1981-05-23,64 km/h ,40 mph,64.0,km/h,39.8,10.0,m,32.8,0,
Wilde Beast,"960 m (3,150 ft)",90 km/h (56 mph),Canada's Wonderland,Operating,1981,Wood,Taft Broadcasting Company,122 cm (4 ft 0 in),,25 m (82 ft),0,Chain lift hill,1.2M,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Medieval Faire,3:00,,,Curtis D. Summers,,23.8 m (78 ft),,Fast Lane available,,Out and Back/Figure 8,,,,,,,,,,,,,,,,1981,43.8441,-79.5432,Wood,1981-01-01,90 km/h ,56 mph,90.0,km/h,55.9,25.0,m,82.0,0,
Grizzly (Kings Dominion),"3,150 ft (960 m)",51 mph (82 km/h),Kings Dominion,Operating,"March 27, 1982",Wood,Taft Broadcasting Company,48 in (122 cm),,87 ft (27 m),0,Chain Lift,,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Old Virginia,2:30,,,Curtis D. Summers,,,,,,Terrain,,,,,,,,,,,,,,,,1982,37.8375,-77.4471,Wood,1982-03-27,51 mph ,82 km/h,51.0,mph,51.0,87.0,ft,,0,
Looping Star (Nagashima Spa Land),"1,942.3 ft (592.0 m)",40 mph (64 km/h),Nagashima Spa Land,Operating,1982,Steel,Anton Schwarzkopf,48 in (122 cm),Custom Looping,80 ft (24 m),1,Chain lift,,7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:18,,,Werner Stengel,,80 ft (24 m),,,,,,,,,,,,,,,,,,,,1982,35.0306,136.7323,Steel,1982-01-01,40 mph ,64 km/h,40.0,mph,40.0,80.0,ft,,1,
Sea Viper (roller coaster),"600 m (2,000 ft)",70 km/h (43 mph),Sea World,Removed,17 September 1982,Steel,Arrow Dynamics,130 cm (4 ft 3 in),Loop & Corkscrew,28 m (92 ft),3,Chain Lift Hill,,,,1:35 minutes,,,,,,,,,,,,17 July 2014,,,,,,,,,,,,,1982,-27.9569,153.4265,Steel,1982-09-17,70 km/h ,43 mph,70.0,km/h,43.5,28.0,m,91.9,3,
Thrillseeker (roller coaster),"1,000 m (3,300 ft)",65 km/h (40 mph),Sea World,Removed,1982,Steel,S.D.C.,,Galaxi,14 m (46 ft),0,Chain Lift Hill,,3 trains with 2 cars. Riders are arranged 2 across in 2 rows for a total of 8 riders per train.,,2:00,,,,,,,,,Zyklon,,,May 2002,,,,,,,,,,,,,1982,-27.9567,153.425,Steel,1982-01-01,65 km/h ,40 mph,65.0,km/h,40.4,14.0,m,45.9,0,
Thunderbolt (Dreamworld),"1,207 m (3,960 ft)",87 km/h (54 mph),Dreamworld,Removed,April 1982,Steel,Sanoyas Hishino Meisho,120 cm (3 ft 11 in),Sitdown Looper,31 m (102 ft),2,Chain Lift Hill,A$3.3 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Country Fair,,960 riders per hour,,,,,,,,,,,8 August 2003,,FlowRiderWhiteWater World,,,,,,,,0 to 87 km/h (0 to 54 mph) in 4 seconds,,,1982,-27.8651,153.3165,Steel,1982-04-01,87 km/h ,54 mph,87.0,km/h,54.1,31.0,m,101.7,2,
Viper (Six Flags Darien Lake),"3,100 ft (940 m)",50 mph (80 km/h),Six Flags Darien Lake,Operating,"May 29, 1982",Steel,Arrow Dynamics,48 in (122 cm),,121 ft (37 m),5,,$6.5 million,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,2:04,2100 riders per hour,,Ron Toomer,,75 ft (23 m),,,,,,,,,,,,,,,,,,,,1982,42.9283,-78.3817,Steel,1982-05-29,50 mph ,80 km/h,50.0,mph,50.0,121.0,ft,,5,
Vortex (Calaway Park),,,Calaway Park,Operating,1982,Steel,Arrow Dynamics,48 in (122 cm),Corkscrew,,2,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,,,,,70 ft (21 m),,,,,,,,,,,,,,,,,,,,1982,51.0875,-114.3594,Steel,1982-01-01,,,,,,,,,2,
Alpen Blitz (Parque de la Ciudad),,,"Argentina, Villa Soldati, Buenos Aires",,,Other,,,,,,,,,,,,,,,,,,,,,,,,,municipal website,,,,,,,,,,1983,,,Other,,,,,,,,,,0,
Beastie (Alton Towers),436 ft (133 m),17 mph (27 km/h),Alton Towers,Removed,1983,Steel,Pinfari,,Super Dragon MD31,13 ft (4.0 m),,Chain lift hill,,,Adventure Land,1:45,200 riders per hour,,,36°,11 ft (3.4 m),,,,,,,"November 7, 2010",,Octonauts Rollercoaster Adventure,,,,,,,,,,,1983,52.9893,-1.8945,Steel,1983-01-01,17 mph ,27 km/h,17.0,mph,17.0,13.0,ft,,0,
Black Hole (roller coaster),"1,919.25 ft (584.99 m)",32 mph (51 km/h),Alton Towers,Removed,1983,Steel – Enclosed,Anton Schwarzkopf,42 in (107 cm),Jet Star 2,44.25 ft (13.49 m),0,Electric spiral lift,,,X-Sector,1:50,900 riders per hour,2.9,Anton Schwarzkopf / Ingenieur Büro Stengel GmbH,33°,27 ft (8.2 m),,,,Custom Twister,,,2005,,The Smiler,,,,,,,,,,,1983,52.9873,-1.8953,Steel,1983-01-01,32 mph ,51 km/h,32.0,mph,32.0,44.25,ft,,0,2.9
Colossus the Fire Dragon,"2,850 ft (870 m)",55 mph (89 km/h),Lagoon Amusement Park,Operating,1983,Steel,Anton Schwarzkopf,46 in (117 cm),Double Looping (with additional trackway curve),85 ft (26 m),2,Chain lift hill,2.5 Million,3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,South Midway,1:45,,4.9 (Back Seat)4.0 (Front Seat),Ingenieur Büro Stengel GmbH,60°,81 ft (25 m),,,,Figure 8,,,,,,,,,,,,,,,,1983,40.9836,-111.8951,Steel,1983-01-01,55 mph ,89 km/h,55.0,mph,55.0,85.0,ft,,2,4.9
Cyclone (Six Flags New England),"3,320 ft (1,010 m)",55 mph (89 km/h),Six Flags New England,Operating,"May 24, 2015",Steel,Rocky Mountain Construction,48 in (122 cm),I-Box,109 ft (33 m),3,Chain lift hill,US$10 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,North End,,,,Alan Schilke,78°,,,,Cyclone,Twister,,,,,,,,,,,,,,,,1983,42.0403,-72.6156,Steel,2015-05-24,55 mph ,89 km/h,55.0,mph,55.0,109.0,ft,,3,
Dragon Mountain,"5,500 ft (1,700 m)",50 mph (80 km/h),Marineland of Canada,Operating,"July 16, 1983",Steel,Arrow Huss,48 in (122 cm),Custom Looping Coaster,186 ft (57 m),4,Chain lift hill,CA$9 million[1],3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,3:30,,,Ron Toomer,,,,,,Terrain,,,,,,,,,,,,,,,,1983,43.0613,-79.0804,Steel,1983-07-16,50 mph ,80 km/h,50.0,mph,50.0,186.0,ft,,4,
Flitzer,,,Morey's Piers,Removed,1983,Steel,Zierer,36 in (91 cm),Flitzer,,0,,"USD $150,000",,,49 seconds,240 riders per hour,,Zierer,,,,,,,,,"September 30, 2018",,Runaway Tram,,,,,,,,,,,1983,38.9893,-74.8033,Steel,1983-01-01,,,,,,,,,0,
Moonsault Scramble,"1,509.2 ft (460.0 m)",55.9 mph (90.0 km/h),Fuji-Q Highland,Removed,"June 24, 1983",Steel – Shuttle,Meisho Amusement Machines,,,229.7 ft (70.0 m),2,,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,,6.5,,,,,,,,,,April 2000,,,,,,,,,,,,,1983,35.487,138.78,Steel,1983-06-24,55.9 mph ,90.0 km/h,55.9,mph,55.9,229.7,ft,,2,6.5
Sky Screamer (Six Flags AstroWorld),,,Six Flags AstroWorld,,1983,Other,Intamin,,Freefall,131 ft (40 m),,,,,Plaza de Fiesta,,,4.5,,,,,,,,,,1990s,,,,,,,,,,,,,1983,29.675,-95.407,Other,1983-01-01,,,,,,131.0,ft,,0,4.5
Space Mountain (Tokyo Disneyland),"3,450 ft (1,051.6 m)",30 mph (48.3 km/h),Other,Operating,"April 15, 1983",Steel,,40 in (102 cm),,85 ft (25.9 m),0,,,14 trains with 2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,Tomorrowland,2:45,,,WED Enterprises,,17 ft (5.2 m),,,,,,,,,,,,Must transfer from wheelchair,,Single rider line available,,,,,,1983,,,Steel,1983-04-15,30 mph ,48.3 km/h,30.0,mph,30.0,85.0,ft,,0,
Timberline Twister,,,"8039 Beach BoulevardBuena Park, California 90620, U.S.",,,Other,,,,,,,,,,,,,,,,,,,,,,,,,www.knotts.com,,,,,,,,,,1983,33.8442,-118.0003,Other,,,,,,,,,,0,
Alpenexpress Enzian,264 m (866 ft),45 km/h (28 mph),Europa-Park,Operating,1984,Steel – Powered – Virtual reality,Mack Rides,100 cm (3 ft 3 in),Custom,6 m (20 ft),0,,,Single train with 10 cars. Riders are arranged 2 across in 2 rows for a total of 40 riders per train.,Austria,1:40,1100 riders per hour,,,,,,,,,,,,,,,,,,,,,,,,1984,,,Steel,1984-01-01,45 km/h ,28 mph,45.0,km/h,28.0,6.0,m,19.7,0,
Alpine Bobsled,"1,490 ft (450 m)",35 mph (56 km/h),Other,,,Steel,Intamin,42 in (107 cm),Bobsled roller coaster,64 ft (20 m),0,,,6 trains with a single car. Riders are arranged 2 across in 4 rows for a total of 8 riders per train.,Fest Area,1 min. 40 sec.,,,,,,,,,,,,,,,,,,,,,,,,,1984,,,Steel,,35 mph ,56 km/h,35.0,mph,35.0,64.0,ft,,0,
Astro Storm,"1,490 ft (450 m)",37 mph (60 km/h),Other,,,Steel – Enclosed,Zierer,48 in (122 cm),Four Man Bob,,0,Chain Lift Hill,,,,1:30,,2.6,Werner Stengel,36°,59 ft (18 m),,,,,,,September 2008,,,,,,,,,,,,,1984,,,Steel,,37 mph ,60 km/h,37.0,mph,37.0,,,,0,2.6
Big Bad Wolf (roller coaster),"2,800 ft (850 m)",48 mph (77 km/h),Busch Gardens Williamsburg,Removed,"June 15, 1984",Steel – Suspended,Arrow Dynamics,42 in (107 cm),Suspended roller coaster,113 ft (34 m),0,,"$6,000,000",,Oktoberfest,3:00,,4.0,Ron Toomer,,99 ft (30 m),,,,Terrain,,,"September 7, 2009",,Verbolten,,,,,,,,,,,1984,37.2335,-76.6449,Steel,1984-06-15,48 mph ,77 km/h,48.0,mph,48.0,113.0,ft,,0,4.0
Boomerang (roller coaster),285 m (935 ft),47 mph (76 km/h),Other,In Production,,Other,Vekoma,,,35.51 m (116.5 ft),6,,,,,About 1 min 48 sec,760 riders per hour,,,,,,,,,,,,,,,,,,,Over-the-shoulder,,,,,1984,,,Other,,47 mph ,76 km/h,47.0,mph,47.0,35.51,m,116.5,6,
